TFBS_chr	TFBS_start	TFBS_end	TFBS_name	TFBS_score	TFBS_strand	peak_chr	peak_start	peak_end	additional_1	additional_2	additional_3	WT_Stem_footprints_score	AhRKO_Diff_footprints_score	WT_Diff_footprints_score	AhRKO_Stem_footprints_score	WT_Stem_footprints_bound	AhRKO_Diff_footprints_bound	WT_Diff_footprints_bound	AhRKO_Stem_footprints_bound	WT_Stem_footprints_AhRKO_Diff_footprints_log2fc	WT_Stem_footprints_WT_Diff_footprints_log2fc	WT_Stem_footprints_AhRKO_Stem_footprints_log2fc	AhRKO_Diff_footprints_WT_Diff_footprints_log2fc	AhRKO_Diff_footprints_AhRKO_Stem_footprints_log2fc	WT_Diff_footprints_AhRKO_Stem_footprints_log2fc
1	3593474	3593480	_AhrArnt_MA0006.1	7.39881	-	1	3592858	3593573	Interval_9	0	+	0.01661	0.05351	0.07873	0.0097	0	0	0	0	-0.75386	-1.10794	0.19846	-0.35407	0.95232	1.3064
1	3670936	3670942	_AhrArnt_MA0006.1	7.39881	-	1	3670640	3672620	Interval_11	0	+	0.06638	0.11689	0.119	0.06064	0	0	0	0	-0.57323	-0.59285	0.08228	-0.01963	0.65551	0.67514
1	4722704	4722710	_AhrArnt_MA0006.1	7.39881	-	1	4722225	4722964	Interval_35	0	+	0.0648	0.11505	0.0796	0.11325	0	0	0	0	-0.57808	-0.19555	-0.56091	0.38253	0.01716	-0.36536
1	5916593	5916599	_AhrArnt_MA0006.1	7.39881	-	1	5915539	5917853	Interval_61	0	+	0.02457	0.07421	0.07708	0.04366	0	0	0	0	-0.85136	-0.88806	-0.38876	-0.03671	0.46259	0.4993
1	5916720	5916726	_AhrArnt_MA0006.1	7.39881	-	1	5915539	5917853	Interval_61	0	+	0.01392	0.0417	0.09749	0.02627	0	0	0	0	-0.62657	-1.39845	-0.31243	-0.77188	0.31415	1.08602
1	6510525	6510531	_AhrArnt_MA0006.1	7.39881	+	1	6509803	6511167	Interval_73	0	+	0.09042	0.30814	0.27722	0.07054	0	1	0	0	-1.43647	-1.30113	0.24439	0.13534	1.68087	1.54552
1	6638371	6638377	_AhrArnt_MA0006.1	7.39881	-	1	6638211	6639019	Interval_76	0	+	0.03822	0.05569	0.09299	0.06062	0	0	0	0	-0.30073	-0.78795	-0.37537	-0.48722	-0.07464	0.41258
1	6945699	6945705	_AhrArnt_MA0006.1	7.39881	-	1	6945323	6946231	Interval_87	0	+	0.00849	0.03888	0.07638	0.007	0	0	0	0	-0.73619	-1.31458	0.04788	-0.57839	0.78407	1.36246
1	6980904	6980910	_AhrArnt_MA0006.1	7.39881	-	1	6979736	6982283	Interval_89	0	+	0.04871	0.05324	0.09281	0.05497	0	0	0	0	-0.07417	-0.59797	-0.10152	-0.5238	-0.02735	0.49645
1	7497988	7497994	_AhrArnt_MA0006.1	7.39881	+	1	7497625	7500908	Interval_102	0	+	1.44323	1.28069	0.82679	1.2192	1	1	1	1	0.16779	0.77696	0.23673	0.60917	0.06894	-0.54023
1	7498423	7498429	_AhrArnt_MA0006.1	7.39881	-	1	7497625	7500908	Interval_102	0	+	1.37211	0.89292	0.51389	1.08023	1	1	1	1	0.59952	1.3547	0.33482	0.75518	-0.26471	-1.01988
1	7502883	7502889	_AhrArnt_MA0006.1	7.39881	-	1	7502086	7502988	Interval_103	0	+	0.23341	0.10081	0.13011	0.23433	0	0	0	0	0.97167	0.69384	-0.0049	-0.27783	-0.97656	-0.69873
1	9299830	9299836	_AhrArnt_MA0006.1	7.39881	-	1	9299131	9299985	Interval_145	0	+	0.0341	0.04459	0.09083	0.03371	0	0	0	0	-0.19814	-0.8449	0.00792	-0.64676	0.20605	0.85282
1	9367077	9367083	_AhrArnt_MA0006.1	7.39881	+	1	9366909	9367958	Interval_147	0	+	0.02452	0.0622	0.07577	0.03004	0	0	0	0	-0.6879	-0.87259	-0.12367	-0.1847	0.56423	0.74893
1	9520964	9520970	_AhrArnt_MA0006.1	7.39881	-	1	9520407	9521194	Interval_149	0	+	0.02847	0.05422	0.08305	0.02242	0	0	0	0	-0.47755	-0.87317	0.13954	-0.39562	0.61708	1.0127
1	9628126	9628132	_AhrArnt_MA0006.1	7.39881	-	1	9627289	9628587	Interval_157	0	+	0.04541	0.05972	0.04091	0.02762	0	0	0	0	-0.23059	0.08085	0.35009	0.31144	0.58068	0.26923
1	9805685	9805691	_AhrArnt_MA0006.1	7.39881	+	1	9805243	9806177	Interval_166	0	+	0.32987	0.17127	0.24986	0.41792	1	0	0	1	0.81635	0.35475	-0.31023	-0.4616	-1.12657	-0.66498
1	9848791	9848797	_AhrArnt_MA0006.1	7.39881	-	1	9847717	9849809	Interval_167	0	+	0.06159	0.09502	0.05229	0.08357	0	0	0	0	-0.42067	0.1427	-0.28994	0.56337	0.13072	-0.43265
1	9849217	9849223	_AhrArnt_MA0006.1	7.39881	+	1	9847717	9849809	Interval_167	0	+	0.00643	0.01385	0.02397	0.00836	0	0	0	0	-0.2268	-0.48792	-0.06251	-0.26112	0.16429	0.42541
1	9943472	9943478	_AhrArnt_MA0006.1	7.39881	+	1	9943463	9944510	Interval_170	0	+	0.15893	0.17016	0.08332	0.13954	0	0	0	0	-0.08034	0.70274	0.15022	0.78308	0.23056	-0.55252
1	9944186	9944192	_AhrArnt_MA0006.1	7.39881	+	1	9943463	9944510	Interval_170	0	+	1.58816	1.17797	1.43663	1.4896	1	1	1	1	0.41961	0.14119	0.09025	-0.27842	-0.32936	-0.05094
1	9967451	9967457	_AhrArnt_MA0006.1	7.39881	+	1	9967044	9968614	Interval_172	0	+	0.27152	0.18178	0.24478	0.31951	0	0	0	1	0.49558	0.13073	-0.20848	-0.36486	-0.70406	-0.33921
1	10232991	10232997	_AhrArnt_MA0006.1	7.39881	-	1	10231584	10233852	Interval_186	0	+	0.7476	0.79526	0.80509	0.8251	1	1	1	1	-0.08506	-0.102	-0.13587	-0.01694	-0.05081	-0.03387
1	10233246	10233252	_AhrArnt_MA0006.1	7.39881	+	1	10231584	10233852	Interval_186	0	+	1.13371	1.15761	0.86718	1.08337	1	1	1	1	-0.02915	0.37265	0.0634	0.4018	0.09255	-0.30925
1	10871866	10871872	_AhrArnt_MA0006.1	7.39881	+	1	10870488	10872971	Interval_207	0	+	0.01612	0.01491	0.0316	0.0166	0	0	0	0	0.03314	-0.368	-0.01294	-0.40114	-0.04608	0.35506
1	12394577	12394583	_AhrArnt_MA0006.1	7.39881	+	1	12394410	12395194	Interval_218	0	+	0.09762	0.05504	0.11415	0.03803	0	0	0	0	0.54779	-0.16691	0.84203	-0.71469	0.29424	1.00893
1	12394709	12394715	_AhrArnt_MA0006.1	7.39881	+	1	12394410	12395194	Interval_218	0	+	0.11758	0.08953	0.27346	0.05751	0	0	0	0	0.28855	-1.00532	0.70889	-1.29387	0.42034	1.71421
1	12658029	12658035	_AhrArnt_MA0006.1	7.39881	-	1	12658003	12658785	Interval_227	0	+	0.03338	0.06098	0.06948	0.0315	0	0	0	0	-0.47642	-0.59626	0.03897	-0.11984	0.5154	0.63523
1	12991575	12991581	_AhrArnt_MA0006.1	7.39881	+	1	12990338	12993223	Interval_231	0	+	0.04671	0.07082	0.08049	0.08535	0	0	0	0	-0.36455	-0.48829	-0.54669	-0.12374	-0.18214	-0.0584
1	12992411	12992417	_AhrArnt_MA0006.1	7.39881	-	1	12990338	12993223	Interval_231	0	+	0.1293	0.13068	0.12666	0.22455	0	0	0	0	-0.01191	0.02306	-0.65281	0.03498	-0.64089	-0.67587
1	12992734	12992740	_AhrArnt_MA0006.1	7.39881	-	1	12990338	12993223	Interval_231	0	+	0.30329	0.23438	0.25971	0.39895	1	0	0	1	0.32628	0.19761	-0.35725	-0.12867	-0.68353	-0.55487
1	13127559	13127565	_AhrArnt_MA0006.1	7.39881	-	1	13126860	13128786	Interval_237	0	+	0.02545	0.06778	0.0775	0.02973	0	0	0	0	-0.74513	-0.87294	-0.0954	-0.1278	0.64973	0.77753
1	13291890	13291896	_AhrArnt_MA0006.1	7.39881	-	1	13291286	13294090	Interval_245	0	+	0.02487	0.04724	0.06769	0.01751	0	0	0	0	-0.4443	-0.75732	0.18223	-0.31302	0.62653	0.93955
1	13302557	13302563	_AhrArnt_MA0006.1	7.39881	-	1	13301192	13302570	Interval_246	0	+	0.18129	0.13418	0.10403	0.15226	0	0	0	0	0.35045	0.62968	0.20572	0.27923	-0.14473	-0.42396
1	13322195	13322201	_AhrArnt_MA0006.1	7.39881	-	1	13321931	13323611	Interval_250	0	+	0.03682	0.05666	0.07534	0.05427	0	0	0	0	-0.34278	-0.60474	-0.30555	-0.26197	0.03723	0.2992
1	13322700	13322706	_AhrArnt_MA0006.1	7.39881	-	1	13321931	13323611	Interval_250	0	+	0.01154	0.03836	0.07137	0.02081	0	0	0	0	-0.63298	-1.15616	-0.2514	-0.52319	0.38157	0.90476
1	15051378	15051384	_AhrArnt_MA0006.1	7.39881	-	1	15051027	15051901	Interval_276	0	+	0.05122	0.17193	0.11055	0.05141	0	0	0	0	-1.24237	-0.741	-0.0031	0.50137	1.23927	0.7379
1	15631111	15631117	_AhrArnt_MA0006.1	7.39881	+	1	15630861	15632027	Interval_285	0	+	0.02676	0.08462	0.08183	0.0267	0	0	0	0	-0.92998	-0.89654	0.00135	0.03344	0.93133	0.8979
1	15938629	15938635	_AhrArnt_MA0006.1	7.39881	-	1	15936424	15939057	Interval_294	0	+	0.02723	0.04251	0.06064	0.02307	0	0	0	0	-0.30722	-0.60303	0.09636	-0.29581	0.40358	0.69939
1	16104938	16104944	_AhrArnt_MA0006.1	7.39881	-	1	16104023	16106512	Interval_301	0	+	1.03905	0.94118	0.74024	1.00736	1	1	1	1	0.13755	0.46923	0.04312	0.33168	-0.09443	-0.42611
1	16106223	16106229	_AhrArnt_MA0006.1	7.39881	-	1	16104023	16106512	Interval_301	0	+	0.46823	0.40705	0.40371	0.46014	1	1	1	1	0.18616	0.19705	0.02328	0.01089	-0.16288	-0.17376
1	16207383	16207389	_AhrArnt_MA0006.1	7.39881	+	1	16205865	16208013	Interval_315	0	+	0.48031	0.20435	0.26619	0.58436	1	0	0	1	1.0994	0.7705	-0.26433	-0.3289	-1.36373	-1.03483
1	16207427	16207433	_AhrArnt_MA0006.1	7.39881	+	1	16205865	16208013	Interval_315	0	+	0.45129	0.19055	0.16657	0.55554	1	0	0	1	1.10103	1.26157	-0.27909	0.16054	-1.38012	-1.54066
1	16234988	16234994	_AhrArnt_MA0006.1	7.39881	+	1	16234719	16235617	Interval_318	0	+	0.3496	0.22186	0.22261	0.46384	1	0	0	1	0.57838	0.57421	-0.37338	-0.00417	-0.95176	-0.94759
1	20623737	20623743	_AhrArnt_MA0006.1	7.39881	-	1	20623204	20624928	Interval_381	0	+	0.07521	0.06684	0.10761	0.07382	0	0	0	0	0.11168	-0.36552	0.01796	-0.47719	-0.09372	0.38347
1	20872115	20872121	_AhrArnt_MA0006.1	7.39881	+	1	20870715	20872881	Interval_390	0	+	0.02733	0.04293	0.10947	0.02672	0	0	0	0	-0.31256	-1.18508	0.01371	-0.87252	0.32627	1.19879
1	21344755	21344761	_AhrArnt_MA0006.1	7.39881	-	1	21343580	21345680	Interval_421	0	+	1.30836	0.96712	0.69241	1.54462	1	1	1	1	0.422	0.88305	-0.23339	0.46105	-0.65539	-1.11643
