TFBS_chr	TFBS_start	TFBS_end	TFBS_name	TFBS_score	TFBS_strand	peak_chr	peak_start	peak_end	additional_1	additional_2	additional_3	WT_Stem_footprints_score	AhRKO_Diff_footprints_score	WT_Diff_footprints_score	AhRKO_Stem_footprints_score	WT_Stem_footprints_bound	AhRKO_Diff_footprints_bound	WT_Diff_footprints_bound	AhRKO_Stem_footprints_bound	WT_Stem_footprints_AhRKO_Diff_footprints_log2fc	WT_Stem_footprints_WT_Diff_footprints_log2fc	WT_Stem_footprints_AhRKO_Stem_footprints_log2fc	AhRKO_Diff_footprints_WT_Diff_footprints_log2fc	AhRKO_Diff_footprints_AhRKO_Stem_footprints_log2fc	WT_Diff_footprints_AhRKO_Stem_footprints_log2fc
1	3671717	3671725	_TEAD3_MA0808.1	8.80241	+	1	3670640	3672620	Interval_11	0	+	0.37043	0.50961	0.68397	0.31457	1	1	1	1	-0.42382	-0.82315	0.21265	-0.39933	0.63647	1.0358
1	4028626	4028634	_TEAD3_MA0808.1	8.80241	+	1	4027766	4029929	Interval_17	0	+	0.01488	0.03873	0.02565	0.01233	0	0	0	0	-0.54432	-0.27139	0.07249	0.27293	0.61681	0.34388
1	4029458	4029466	_TEAD3_MA0808.1	9.25013	+	1	4027766	4029929	Interval_17	0	+	0.3914	0.58063	0.69998	0.2809	1	1	1	0	-0.52762	-0.78245	0.4302	-0.25482	0.95783	1.21265
1	4060925	4060933	_TEAD3_MA0808.1	8.80241	+	1	4060661	4062418	Interval_18	0	+	0.01939	0.04537	0.0864	0.02726	0	0	0	0	-0.54542	-1.12766	-0.18799	-0.58224	0.35743	0.93967
1	4362487	4362495	_TEAD3_MA0808.1	8.80241	-	1	4361592	4363749	Interval_24	0	+	0.07105	0.18476	0.14797	0.0579	0	0	0	0	-1.03623	-0.77473	0.18693	0.26151	1.22316	0.96166
1	4363187	4363195	_TEAD3_MA0808.1	8.49316	-	1	4361592	4363749	Interval_24	0	+	0.03147	0.08201	0.0764	0.02277	0	0	0	0	-0.79614	-0.72657	0.19557	0.06957	0.99172	0.92215
1	4722528	4722536	_TEAD3_MA0808.1	8.80241	-	1	4722225	4722964	Interval_35	0	+	0.10793	0.09145	0.06605	0.1756	0	0	0	0	0.17395	0.49138	-0.55229	0.31743	-0.72624	-1.04367
1	4745875	4745883	_TEAD3_MA0808.1	9.25013	+	1	4744941	4746523	Interval_36	0	+	0.24214	0.16221	0.08658	0.24468	0	0	0	0	0.48638	1.17453	-0.01306	0.68815	-0.49944	-1.18759
1	4774969	4774977	_TEAD3_MA0808.1	9.25013	+	1	4774923	4776121	Interval_37	0	+	0.02522	0.12423	0.0958	0.02791	0	0	0	0	-1.37145	-1.09188	-0.06091	0.27957	1.31054	1.03097
1	5108867	5108875	_TEAD3_MA0808.1	9.25013	-	1	5108424	5109397	Interval_49	0	+	0.25253	0.41938	0.4223	0.32934	0	1	1	1	-0.65624	-0.66544	-0.33931	-0.0092	0.31693	0.32613
1	5129739	5129747	_TEAD3_MA0808.1	9.25013	+	1	5129562	5129838	Interval_50	0	+	0.13683	0.09387	0.08967	0.14497	0	0	0	0	0.40912	0.45612	-0.06597	0.047	-0.47508	-0.52209
1	5396152	5396160	_TEAD3_MA0808.1	9.25013	+	1	5395633	5396500	Interval_55	0	+	0.02079	0.07698	0.08088	0.01526	0	0	0	0	-0.97797	-1.02644	0.1447	-0.04847	1.12267	1.17114
